Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
30/10/2020,174.5,175,175,171.5,172.5,-2,-1.146131805,172.755988,172.5,173,4408.8,761.6466,-,-,4410.231,761.89384,314.3025075,318.416895,-4.1143875,17.32,7.62,7.17,24.07,4.25,3.94,512938.119,0.150000006,-,-,1,2973554313,-,-
29/10/2020,173,173,174.5,172,174.5,1.5,0.867052023,173.5004957,174,174.5,4034.9,700.05715,-,-,4035.869,700.225226,214.0265535,285.2124,-71.1858465,17.52,7.7,7.25,24.07,4.210000038,3.9,518885.2276,0.140000001,-,-,1,2973554313,-,-
28/10/2020,172,171.5,173,171,173,1,0.581395349,172.2571564,172.5,173,3682,634.25085,-,-,3682.949,634.4142175,185.725365,214.607261,-28.881896,17.37,7.64,7.19,24.07,4.239999771,3.93,514424.8961,0.119999997,-,-,1,2973554313,-,-
27/10/2020,172.5,171,172.5,170,172,-0.5,-0.289855072,171.1751356,171.5,172,3595.5,615.4602,-,-,3596.45,615.622713,122.8423935,216.8459715,-94.003578,17.27,7.59,7.15,24.07,4.269999981,3.95,511451.3418,0.119999997,-,-,1,2973554313,-,-
26/10/2020,171,171,173,169.5,172.5,1.5,0.877192982,171.1787494,172.5,173,4054,693.95865,-,-,4055.619,694.235596,247.4250075,183.9725,63.4525075,17.32,7.62,7.17,24.07,4.25,3.94,512938.119,0.140000001,-,-,1,2973554313,-,-
22/10/2020,171.5,171,174,171,171,-0.5,-0.29154519,172.1912072,171,171.5,5647.8,972.5015,20,3.46,5668.815,976.136226,409.11345,433.08512,-23.97167,17.17,7.55,7.1,24.07,4.289999962,3.98,508477.7875,0.189999998,-,-,1,2973554313,-,-
21/10/2020,172,172.5,172.5,171,171.5,-0.5,-0.290697674,171.6828381,171.5,172,4670.8,801.8962,-,-,4672.308,802.1553545,209.0323995,358.115316,-149.0829165,17.22,7.57,7.13,24.07,4.28000021,3.96,509964.5647,0.159999996,-,-,1,2973554313,-,-
20/10/2020,173.5,173.5,174,172,172,-1.5,-0.864553314,172.8448481,171.5,172,5876.5,1015.72275,-,-,5878.285,1016.03107,547.821122,407.4795345,140.3415875,17.27,7.59,7.15,24.07,4.269999981,3.95,511451.3418,0.200000003,-,-,1,2973554313,-,-
19/10/2020,173.5,172.5,175.5,172.5,173.5,0,0,173.9871672,173,173.5,5949.6,1035.15405,-,-,5951.025,1035.401933,490.6481,307.82485,182.82325,17.42,7.66,7.21,24.07,4.230000019,3.92,515911.6733,0.200000003,-,-,1,2973554313,-,-
16/10/2020,175.5,175,176,172.5,173.5,-2,-1.13960114,174.1576669,173.5,174,5105.7,889.1968,20,3.46,5127.368,892.947351,426.045145,222.818982,203.226163,17.42,7.66,7.21,24.07,4.230000019,3.92,515911.6733,0.170000002,-,-,1,2973554313,-,-
