Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
30/10/2020,51.25,51.5,52,50.5,51.75,0.5,0.975609756,51.31243667,51.5,51.75,41447.2,2126.756825,150,7.65,41605.412,2134.828257,540.4524005,517.347568,23.1048325,56.14,-1.18,5.04,10.27,2.029999971,2.03,739284.975,0.289999992,-,-,1,14285700000,-,-
29/10/2020,53,52.75,53.25,51.25,51.25,-1.75,-3.301886792,52.10432895,51.25,51.5,32311.5,1683.569025,-,-,32321.528,1684.093588,440.458745,345.879525,94.57922,55.59,-1.17,4.99,10.27,2.049999952,2.05,732142.125,0.230000004,-,-,1,14285700000,-,-
28/10/2020,54.25,53.75,53.75,52.75,53,-1.25,-2.304147465,53.15820722,53,53.25,30797.9,1637.16115,1600,85.0373,32401.667,1722.399297,421.252565,346.9853208,74.26724425,57.49,-1.21,5.16,10.27,1.980000019,1.98,757142.1,0.230000004,-,-,1,14285700000,-,-
27/10/2020,53.75,52.5,54.5,52.25,54.25,0.5,0.930232558,53.48791233,54.25,54.5,33519.7,1792.898775,86,4.97252,33608.734,1798.033177,710.7940925,465.10505,245.6890425,58.85,-1.24,5.28,10.27,1.940000057,1.94,774999.225,0.239999995,-,-,1,14285700000,-,-
26/10/2020,54,54,54.5,53.5,53.75,-0.25,-0.462962963,53.93845064,53.75,54,10972.9,591.861225,-,-,10976.515,592.0566565,185.980002,150.5048888,35.47511325,58.31,-1.22,5.23,10.27,1.950000048,1.95,767856.375,0.079999998,-,-,1,14285700000,-,-
22/10/2020,55,54.75,55.5,53.5,54,-1,-1.818181818,54.34580454,54,54.25,26987.5,1466.6574,-,-,26991.772,1466.889525,563.450168,439.1219315,124.3282365,58.58,-1.23,5.26,10.27,1.940000057,1.94,771427.8,0.189999998,-,-,1,14285700000,-,-
21/10/2020,54.25,54.5,55.75,54.25,55,0.75,1.382488479,54.92190492,55,55.25,23032.5,1264.988775,-,-,23035.032,1265.127914,433.7047185,460.00465,-26.2999315,59.66,-1.25,5.36,10.27,1.909999967,1.91,785713.5,0.159999996,-,-,1,14285700000,-,-
20/10/2020,53.5,53,55,52.75,54.25,0.75,1.401869159,53.88278369,54,54.25,24191.6,1303.51075,14,0.7595,24210.597,1304.539531,533.3945463,289.284754,244.1097923,58.85,-1.24,5.28,10.27,1.940000057,1.94,774999.225,0.170000002,-,-,1,14285700000,-,-
19/10/2020,56,55.5,55.75,52.75,53.5,-2.5,-4.464285714,53.76845039,53.5,53.75,45064.1,2423.026825,106.4,5.67126896,45179.283,2429.169983,727.6511,799.6045723,-71.95347225,58.03,-1.22,5.21,10.27,1.960000038,1.96,764284.95,0.319999993,-,-,1,14285700000,-,-
16/10/2020,55.75,56,56.25,55,56,0.25,0.448430493,55.62913062,55.75,56,14897.9,828.757225,-,-,14901.671,828.9667838,337.8591495,194.728036,143.1311135,60.75,-1.28,5.45,10.27,1.879999995,1.88,799999.2,0.100000001,-,-,1,14285700000,-,-
15/10/2020,57.25,56.5,56.75,55.5,55.75,-1.5,-2.620087336,56.01392018,55.75,56,18417.5,1031.636375,56.9,3.172175,18478.856,1035.058868,245.7752895,359.372997,-113.5977075,60.47,-1.27,5.43,10.27,1.879999995,1.88,796427.775,0.129999995,-,-,1,14285700000,-,-
14/10/2020,57.5,57,57.25,56.5,57.25,-0.25,-0.434782609,56.86635537,57,57.25,17876.7,1016.582775,746.4,42.44508096,18625.539,1059.166771,394.0685475,469.276181,-75.2076335,62.1,-1.3,5.57,10.27,1.830000043,1.83,817856.325,0.129999995,-,-,1,14285700000,-,-
12/10/2020,57.5,57.5,58,57,57.5,0,0,57.56245319,57.5,57.75,12017,691.728,-,-,12018.696,691.825637,159.70405,181.7646,-22.06055,62.37,-1.31,5.6,10.27,1.830000043,1.83,821427.75,0.079999998,-,-,1,14285700000,-,-
9/10/2020,57.25,57.5,58.5,57,57.5,0.25,0.436681223,57.62992807,57.25,57.5,18364.2,1058.327525,70,4.025,18436.922,1062.509572,178.8513193,277.209975,-98.35865575,62.37,-1.31,5.6,10.27,1.830000043,1.83,821427.75,0.129999995,-,-,1,14285700000,-,-
8/10/2020,57.25,57.25,57.75,56.75,57.25,0,0,57.36438521,57,57.25,23317.7,1337.605525,-,-,23320.589,1337.771122,254.43645,581.1376,-326.70115,62.1,-1.3,5.57,10.27,1.830000043,1.83,817856.325,0.159999996,-,-,1,14285700000,-,-
7/10/2020,55.5,55,57.75,54.25,57.25,1.75,3.153153153,55.83077586,57,57.25,30795.4,1719.331075,48.3,2.765175,30846.795,1722.268385,307.953975,365.254269,-57.300294,62.1,-1.3,5.57,10.27,1.830000043,1.83,817856.325,0.219999999,-,-,1,14285700000,-,-
6/10/2020,56.25,56.75,57,55.5,55.5,-0.75,-1.333333333,55.81891018,55.5,55.75,21667.7,1209.4674,-,-,21670.508,1209.624741,225.072097,558.283502,-333.211405,60.2,-1.26,5.4,10.27,1.889999986,1.89,792856.35,0.150000006,-,-,1,14285700000,-,-
5/10/2020,56,57,57.25,55.5,56.25,0.25,0.446428571,56.32635031,56,56.25,19584.4,1103.117775,-,-,19588.172,1103.330358,253.478425,206.8412,46.637225,61.02,-1.28,5.48,10.27,1.870000005,1.87,803570.625,0.140000001,-,-,1,14285700000,-,-
2/10/2020,56.5,56.25,56.5,55.75,56,-0.5,-0.884955752,56.01769353,56,56.25,18663.6,1045.491825,101.9,5.7064,18770.052,1051.45365,275.98468,270.86715,5.11753,60.75,-1.28,5.45,10.27,1.879999995,1.88,799999.2,0.129999995,-,-,1,14285700000,-,-
1/10/2020,56.5,56.75,57,56,56.5,0,0,56.49263968,56.5,56.75,22234.1,1256.063,13.5,0.76275,22251.852,1257.066059,360.560125,379.997227,-19.437102,61.29,-1.29,5.5,10.27,1.860000014,1.86,807142.05,0.159999996,-,-,1,14285700000,-,-
30/9/2020,58,58.25,58.25,56.5,56.5,-1.5,-2.586206897,56.89901753,56.5,56.75,24524.8,1395.437025,500,27.775,25030.138,1423.516295,518.70959,356.814691,161.894899,61.29,-1.29,5.5,10.27,1.860000014,1.86,807142.05,0.180000007,-,-,1,14285700000,-,-
