Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
30/10/2020,8.2,8.2,8.25,8.05,8.2,0,0,8.153755547,8.2,8.25,33080.4,269.729495,-,-,33083.543,269.7551066,177.39272,100.664635,76.72808495,59.18,-0.82,3.41,2.41,1.830000043,1.1,125337,0.219999999,-,-,1,15285000000,-,-
29/10/2020,8.2,8.2,8.2,8.1,8.2,0,0,8.147518829,8.15,8.2,19398.1,158.046385,-,-,19399.086,158.0544536,97.0992142,45.0337,52.0655142,59.18,-0.82,3.41,2.41,1.830000043,1.1,125337,0.129999995,-,-,1,15285000000,-,-
28/10/2020,8.2,8.2,8.3,8.05,8.2,0,0,8.175823124,8.2,8.25,31392.6,256.660345,90.9,0.74538,31485.866,257.4251696,108.8806146,83.5483172,25.3322974,59.18,-0.82,3.41,2.41,1.830000043,1.1,125337,0.209999993,-,-,1,15285000000,-,-
27/10/2020,8.25,8.2,8.25,8.15,8.2,-0.05,-0.606060606,8.199818657,8.2,8.25,18225.1,149.442515,-,-,18226.189,149.4514974,92.086675,41.472375,50.6143,59.18,-0.82,3.41,2.41,1.830000043,1.1,125337,0.119999997,-,-,1,15285000000,-,-
26/10/2020,8.35,8.3,8.3,8.15,8.25,-0.1,-1.19760479,8.223645125,8.2,8.25,18811.7,154.700745,-,-,18813.53,154.7158534,85.291085,51.186935,34.10415,59.54,-0.83,3.43,2.41,1.820000052,1.09,126101.25,0.119999997,-,-,1,15285000000,-,-
22/10/2020,8.2,8.25,8.4,8.15,8.35,0.15,1.829268293,8.298020569,8.35,8.4,24522.2,203.48572,-,-,24523.462,203.496173,117.284725,64.29208325,52.99264175,60.26,-0.84,3.47,2.41,1.799999952,1.08,127629.75,0.159999996,-,-,1,15285000000,-,-
21/10/2020,8.15,8.2,8.35,8.1,8.2,0.05,0.613496933,8.247921558,8.2,8.25,32197.2,265.55998,-,-,32198.614,265.5716675,144.5897363,97.852635,46.73710125,59.18,-0.82,3.41,2.41,1.830000043,1.1,125337,0.209999993,-,-,1,15285000000,-,-
20/10/2020,8.15,8.1,8.3,8.1,8.15,0,0,8.180440567,8.15,8.2,40663.5,332.645345,-,-,40664.969,332.6574363,147.74858,77.2516574,70.4969226,58.82,-0.82,3.39,2.41,1.840000033,1.1,124572.75,0.270000011,-,-,1,15285000000,-,-
19/10/2020,8.5,8.45,8.45,7.95,8.15,-0.35,-4.117647059,8.156043282,8.1,8.15,71725.1,584.99302,-,-,71730.619,585.0380173,264.2899316,102.176215,162.1137166,58.82,-0.82,3.39,2.41,1.840000033,1.1,124572.75,0.469999999,-,-,1,15285000000,-,-
16/10/2020,8.45,8.5,8.55,8.45,8.5,0.05,0.591715976,8.487242945,8.45,8.5,17865.8,151.631385,-,-,17866.552,151.6377879,74.72106,27.573095,47.147965,61.35,-0.85,3.53,2.41,1.75999999,1.06,129922.5,0.119999997,-,-,1,15285000000,-,-
15/10/2020,8.65,8.6,8.65,8.45,8.45,-0.2,-2.312138728,8.520010994,8.45,8.5,37928.4,323.150385,89.2,0.75374,38020.757,323.9311028,58.324705,73.93525,-15.610545,60.99,-0.85,3.51,2.41,1.779999971,1.07,129158.25,0.25,-,-,1,15285000000,-,-
14/10/2020,8.75,8.75,8.75,8.65,8.65,-0.1,-1.142857143,8.691634741,8.65,8.7,17854.2,155.182185,-,-,17855.492,155.1934296,30.1443787,55.8332411,-25.6888624,62.43,-0.87,3.6,2.41,1.730000019,1.04,132215.25,0.119999997,-,-,1,15285000000,-,-
12/10/2020,8.7,8.7,8.8,8.65,8.75,0.05,0.574712644,8.727343881,8.7,8.75,7729.7,67.45975,-,-,7731.335,67.4740322,25.943825,14.43188,11.511945,63.15,-0.88,3.64,2.41,1.710000038,1.03,133743.75,0.050000001,-,-,1,15285000000,-,-
9/10/2020,8.75,8.75,8.85,8.65,8.7,-0.05,-0.571428571,8.735641293,8.7,8.75,17849.1,155.923335,-,-,17850.553,155.93609,28.6401378,49.7915517,-21.1514139,62.79,-0.87,3.62,2.41,1.720000029,1.03,132979.5,0.119999997,-,-,1,15285000000,-,-
8/10/2020,8.7,8.7,8.9,8.65,8.75,0.05,0.574712644,8.748507075,8.7,8.75,40825.9,357.165675,112.7,0.986125,40940.879,358.1717775,73.71754625,53.152175,20.56537125,63.15,-0.88,3.64,2.41,1.710000038,1.03,133743.75,0.270000011,-,-,1,15285000000,-,-
7/10/2020,8.5,8.5,8.7,8.45,8.7,0.2,2.352941176,8.611735081,8.65,8.7,27650,238.114475,-,-,27651.108,238.1240878,45.606725,66.96041865,-21.35369365,62.79,-0.87,3.62,2.41,1.720000029,1.03,132979.5,0.180000007,-,-,1,15285000000,-,-
6/10/2020,8.55,8.55,8.6,8.5,8.5,-0.05,-0.584795322,8.538225941,8.5,8.55,30660.2,261.783715,-,-,30661.377,261.793816,116.989168,116.460651,0.528517,61.35,-0.85,3.53,2.41,1.75999999,1.06,129922.5,0.200000003,-,-,1,15285000000,-,-
5/10/2020,8.5,8.55,8.6,8.5,8.55,0.05,0.588235294,8.551087528,8.5,8.55,18270.8,156.23521,-,-,18272.218,156.2473748,34.85475,61.5271244,-26.6723744,61.71,-0.86,3.55,2.41,1.75,1.05,130686.75,0.119999997,-,-,1,15285000000,-,-
