Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
30/10/2020,38.75,39,39.25,37.75,38.5,-0.25,-0.64516129,38.27316326,38.25,38.5,9127.6,349.342125,100,3.8,9228.543,353.178104,219.3218885,139.7562435,79.565645,14.99,2.09,2.69,14.3,2.079999924,2.08,172788,0.209999993,-,-,0.5,4488000000,-,-
29/10/2020,38.75,38,39.25,38,38.75,0,0,38.66680465,38.75,39,5737.4,221.846925,-,-,5737.816,221.8631623,90.781,84.17275,6.60825,15.09,2.11,2.71,14.3,2.059999943,2.06,173910,0.129999995,-,-,0.5,4488000000,-,-
28/10/2020,38,38,39.25,38,38.75,0.75,1.973684211,38.79593437,38.75,39,8416.9,326.5415,3118.1,120.9553748,11535.833,447.5292891,112.858556,97.206725,15.651831,15.09,2.11,2.71,14.3,2.059999943,2.06,173910,0.25999999,-,-,0.5,4488000000,-,-
27/10/2020,37.25,37,38.25,36.25,38,0.75,2.013422819,37.35573729,37.75,38,10928.5,408.242175,-,-,10929.267,408.270699,197.7718925,35.737275,162.0346175,14.8,2.07,2.66,14.3,2.109999895,2.11,170544,0.239999995,-,-,0.5,4488000000,-,-
26/10/2020,38.5,38.25,38.5,36.5,37.25,-1.25,-3.246753247,37.43705187,37.25,37.5,8926,334.163125,-,-,8928.168,334.2446553,116.0968925,61.13,54.9668925,14.51,2.03,2.61,14.3,2.150000095,2.15,167178,0.200000003,-,-,0.5,4488000000,-,-
22/10/2020,38.5,38.5,39.5,38,38.5,0,0,38.7347833,38.25,38.5,6299,243.9904,-,-,6299.742,244.0192285,69.8906225,73.0814515,-3.190829,14.99,2.09,2.69,14.3,2.079999924,2.08,172788,0.140000001,-,-,0.5,4488000000,-,-
21/10/2020,38.25,39,39.25,38.25,38.5,0.25,0.653594771,38.83122349,38.5,39,11363.4,441.254725,-,-,11364.22,441.286585,114.7719135,88.686075,26.0858385,14.99,2.09,2.69,14.3,2.079999924,2.08,172788,0.25,-,-,0.5,4488000000,-,-
20/10/2020,38.25,38.25,39,38,38.25,0,0,38.44421905,38.25,38.5,10142.8,389.932025,20,0.765,10163.648,390.7296133,109.4130823,56.503865,52.90921725,14.9,2.08,2.68,14.3,2.089999914,2.09,171666,0.230000004,-,-,0.5,4488000000,-,-
19/10/2020,41.25,40,40,38,38.25,-3,-7.272727273,38.83015594,38.25,38.5,15691.6,609.307275,1593.2,62.1348,17287.822,671.5597978,190.5822675,106.056625,84.5256425,14.9,2.08,2.68,14.3,2.089999914,2.09,171666,0.389999986,-,-,0.5,4488000000,-,-
16/10/2020,42.75,42.75,42.75,41,41.25,-1.5,-3.50877193,41.53694464,41.25,41.5,8638.6,358.82105,-,-,8639.808,358.8713493,78.418099,92.107725,-13.689626,16.06,2.24,2.89,14.3,1.940000057,1.94,185130,0.189999998,-,-,0.5,4488000000,-,-
