Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
30/10/2020,76.5,76.25,76.75,75,76.25,-0.25,-0.326797386,75.92887996,76,76.25,20199.3,1533.710225,-,-,20200.967,1533.836937,470.1760525,502.9500123,-32.77395975,6.38,-0.2,0.45,169.83,6.559999943,5.9,180661.229,0.860000014,-,-,10,2369327593,-,-
29/10/2020,75,74.25,76.75,74,76.5,1.5,2,75.68802759,76.25,76.5,19818.9,1500.05345,-,-,19820.074,1500.142441,438.6386058,265.504625,173.1339808,6.4,-0.2,0.45,169.83,6.539999962,5.88,181253.5609,0.899999976,-,-,10,2369327593,-,-
28/10/2020,74.25,74.75,75.75,74.5,75,0.75,1.01010101,75.13190343,75,75.25,15392.7,1156.48285,38.2,2.865,15432.458,1159.465129,413.3266038,253.6898,159.6368038,6.28,-0.19,0.44,169.83,6.670000076,6,177699.5695,0.720000029,-,-,10,2369327593,-,-
27/10/2020,74.5,74.5,74.75,73.5,74.25,-0.25,-0.33557047,74.17509914,74.25,74.5,19190.7,1423.472075,-,-,19191.534,1423.533852,467.837725,376.007725,91.83,6.22,-0.19,0.44,169.83,6.739999771,6.06,175922.5738,0.879999995,-,-,10,2369327593,-,-
26/10/2020,75.25,75.5,75.5,74.5,74.5,-0.75,-0.996677741,74.88760146,74.5,74.75,10842,811.931375,-,-,10843.085,812.0126198,204.65535,211.355025,-6.699675,6.24,-0.19,0.44,169.83,6.71999979,6.04,176514.9057,0.5,-,-,10,2369327593,-,-
22/10/2020,75.75,75.25,76,74.25,75.25,-0.5,-0.660066007,75.13712057,75,75.25,16607.1,1247.809675,-,-,16608.828,1247.939362,512.26905,377.377425,134.891625,6.3,-0.2,0.44,169.83,6.650000095,5.98,178291.9014,0.720000029,-,-,10,2369327593,-,-
21/10/2020,73.25,74.5,76,74.25,75.75,2.5,3.412969283,75.00061416,75.5,75.75,37083.2,2781.262775,-,-,37085.68,2781.448837,1239.855025,432.94271,806.912315,6.34,-0.28,0.45,169.83,6.610000134,5.94,179476.5652,1.580000043,-,-,10,2369327593,-,-
20/10/2020,70.75,71.75,73.75,71.75,73.25,2.5,3.533568905,72.93441319,73.25,73.5,25171.6,1835.875875,-,-,25173.446,1836.010491,924.1673,362.080687,562.086613,6.13,-0.27,0.43,169.83,6.829999924,6.14,173553.2462,1.080000043,-,-,10,2369327593,-,-
19/10/2020,73.25,73,73,70,70.75,-2.5,-3.412969283,70.9158444,70.5,70.75,25974.8,1842.024875,2078.191,145.9929178,28056.814,1988.288539,451.5329345,521.1907373,-69.65780275,5.92,-0.26,0.42,169.83,7.070000172,6.36,167629.9272,1.309999943,-,-,10,2369327593,-,-
16/10/2020,73,73.75,74,72.5,73.25,0.25,0.342465753,73.32692861,73.25,73.5,18079.1,1325.684875,-,-,18080.086,1325.757302,652.1876425,306.3441855,345.843457,6.13,-0.27,0.43,169.83,6.829999924,6.14,173553.2462,0.769999981,-,-,10,2369327593,-,-
15/10/2020,72.25,71.75,74,71,73,0.75,1.038062284,72.84749062,73,73.25,33749.4,2458.5591,7.1,0.5183,33758.293,2459.208035,1359.902448,325.1364405,1034.766007,6.11,-0.27,0.43,169.83,6.860000134,6.16,172960.9143,1.450000048,-,-,10,2369327593,-,-
14/10/2020,75,74,74.25,72,72.25,-2.75,-3.666666667,72.76932389,72,72.25,38576.6,2807.1931,79.9,5.772775,38664.124,2813.5205,630.8838658,832.56244,-201.6785743,6.05,-0.26,0.43,169.83,6.929999828,6.23,171183.9186,1.639999986,-,-,10,2369327593,-,-
12/10/2020,75.25,75.25,76,75,75,-0.25,-0.332225914,75.41728491,75,75.25,17522.8,1321.522,2140.1,161.039325,19664.377,1482.672864,369.144351,276.0000555,93.1442955,6.28,-0.27,0.44,169.83,6.670000076,6,177699.5695,0.839999974,-,-,10,2369327593,-,-
9/10/2020,75.5,75.75,76.25,75.25,75.25,-0.25,-0.331125828,75.66091334,75.25,75.5,12523.2,947.51675,90,6.795,12614.493,954.4095593,263.3290858,255.892027,7.43705875,6.3,-0.27,0.44,169.83,6.650000095,5.98,178291.9014,0.550000012,-,-,10,2369327593,-,-
8/10/2020,74.75,75,76.5,75,75.5,0.75,1.003344482,75.5744361,75.25,75.5,19422.7,1467.8596,96.3,7.49097,19520.855,1475.490619,461.32577,130.819755,330.506015,6.32,-0.27,0.44,169.83,6.630000114,5.96,178884.2333,0.829999983,-,-,10,2369327593,-,-
7/10/2020,75,75,75.25,74,74.75,-0.25,-0.333333333,74.64297219,74.75,75,14715.1,1098.3788,128,9.568,14844.699,1108.066268,374.0501473,265.4321648,108.6179825,6.26,-0.27,0.44,169.83,6.699999809,6.02,177107.2376,0.649999976,-,-,10,2369327593,-,-
6/10/2020,75.5,76,76,73.75,75,-0.5,-0.662251656,75.00824652,74.75,75,23749.4,1781.40085,130.6,9.795,23882.682,1791.397004,495.64269,441.46205,54.18064,6.28,-0.27,0.44,169.83,6.670000076,6,177699.5695,1.019999981,-,-,10,2369327593,-,-
5/10/2020,75.75,76,77.5,75.25,75.5,-0.25,-0.330033003,76.10529885,75.5,75.75,9769.1,743.480275,-,-,9771.096,743.6320805,253.437361,204.4554013,48.98195975,6.32,-0.27,0.44,169.83,6.630000114,5.96,178884.2333,0.419999987,-,-,10,2369327593,-,-
2/10/2020,77.75,77.5,77.75,75,75.75,-2,-2.572347267,75.96462897,75.5,75.75,17375.8,1319.9462,890.3,68.99825,18268.778,1389.148588,442.034905,519.358588,-77.323683,6.34,-0.28,0.45,169.83,6.610000134,5.94,179476.5652,0.800000012,-,-,10,2369327593,-,-
1/10/2020,77,77.5,78.5,77.25,77.75,0.75,0.974025974,77.75490532,77.75,78,17506.5,1361.21625,-,-,17507.687,1361.308679,499.3400945,308.36802,190.9720745,6.51,-0.28,0.46,169.83,6.440000057,5.79,184215.2204,0.75999999,-,-,10,2369327593,-,-
30/9/2020,78,78.25,79.25,76.75,77,-1,-1.282051282,77.98456492,77,77.25,16232.5,1265.88445,24.4,1.8788,16259.19,1267.941574,381.7391985,349.0404815,32.698717,6.45,-0.28,0.45,169.83,6.5,6.5,182438.2247,0.699999988,-,-,10,2369327593,-,-
29/9/2020,79.5,79.25,79.75,77.75,78,-1.5,-1.886792453,78.48034157,78,78.25,13139.4,1031.1846,38.8,3.0846,13180.158,1034.423324,329.7239715,268.6849548,61.03901675,6.53,-0.28,0.46,169.83,6.420000076,6.42,184807.5523,0.579999983,-,-,10,2369327593,-,-
28/9/2020,76,77.25,79.75,77,79.5,3.5,4.605263158,78.55173709,79.5,79.75,15505.8,1218.007525,-,-,15508.114,1218.188688,383.797035,288.7257033,95.07133175,6.66,-0.29,0.47,169.83,6.300000191,6.3,188361.5436,0.670000017,-,-,10,2369327593,-,-
25/9/2020,75.75,77,77.5,75.5,76,0.25,0.330033003,76.52811764,76,76.25,14695.4,1124.6113,-,-,14698.009,1124.810977,489.1450575,387.2976468,101.8474108,6.36,-0.28,0.45,169.83,6.590000153,6.59,180068.8971,0.709999979,-,-,10,2369327593,-,-
