Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
30/10/2020,31,31,31.25,30.5,31,0,0,30.83892569,31,31.25,56732.2,1749.5601,400,12.4,57139.607,1762.188735,791.8656133,598.5391183,193.326495,18.37,-0.34,1.03,30.21,6.449999809,7.03,885452.8838,0.200000003,-,-,1,28562996250,-,-
29/10/2020,31.5,31,31.25,30.5,31,-0.5,-1.587301587,30.90990244,30.75,31,52314.4,1617.033,-,-,52320.839,1617.232652,406.313455,272.02205,134.291405,18.37,-0.34,1.03,30.21,6.449999809,7.03,885452.8838,0.180000007,-,-,1,28562996250,-,-
28/10/2020,32,31.75,32.25,31.5,31.5,-0.5,-1.5625,31.78539276,31.5,31.75,51605.9,1640.3138,102.2,3.2193,51711.968,1643.65678,742.551175,440.5911308,301.9600443,18.67,-0.34,1.04,30.21,6.349999905,6.92,899734.3819,0.180000007,-,-,1,28562996250,-,-
27/10/2020,32.25,31.75,32.25,31.5,32,-0.25,-0.775193798,31.95309325,31.75,32,47632.8,1522.0153,-,-,47634.718,1522.076758,377.940734,326.918675,51.022059,18.96,-0.35,1.06,30.21,6.25,6.81,914015.88,0.170000002,-,-,1,28562996250,-,-
26/10/2020,32.25,32,32.25,31.5,32.25,0,0,32.01684603,32,32.25,32681.3,1046.35215,-,-,32685.264,1046.479156,487.33937,296.58075,190.75862,19.11,-0.35,1.07,30.21,6.199999809,6.76,921156.6291,0.109999999,-,-,1,28562996250,-,-
22/10/2020,32.25,32,32.75,31.5,32.25,0,0,32.17617557,32.25,32.5,38068.7,1224.905175,173.6,5.58578832,38245.453,1230.59241,490.9616,252.818043,238.143557,19.11,-0.35,1.07,30.21,6.199999809,6.76,921156.6291,0.129999995,-,-,1,28562996250,-,-
21/10/2020,32.25,32.25,32.5,31.75,32.25,0,0,32.12759125,32,32.25,49705.8,1596.927625,29.3,0.944925,49739.593,1598.017243,357.7070708,339.4857875,18.22128325,19.11,-0.35,1.07,30.21,6.199999809,6.76,921156.6291,0.180000007,-,-,1,28562996250,-,-
20/10/2020,32.5,32,32.5,31.5,32.25,-0.25,-0.769230769,31.94565256,32,32.25,54014.5,1725.52845,617.2,19.9047,54638.942,1745.665259,513.9708215,528.5069018,-14.53608025,19.11,-0.35,1.07,30.21,6.199999809,6.76,921156.6291,0.189999998,-,-,1,28562996250,-,-
19/10/2020,32.75,32.5,32.75,32.25,32.5,-0.25,-0.763358779,32.46849063,32.25,32.5,37145.3,1206.051825,-,-,37149.333,1206.183176,447.871465,297.689555,150.18191,19.26,-0.36,1.08,30.21,6.150000095,6.71,928297.3781,0.129999995,-,-,1,28562996250,-,-
16/10/2020,33,33,33.25,32.5,32.75,-0.25,-0.757575758,32.86577851,32.5,32.75,49334.5,1621.41675,7653.9,250.971769,56992.753,1872.531947,693.045091,808.76675,-115.721659,19.41,-0.36,1.08,30.21,6.110000134,6.66,935438.1272,0.200000003,-,-,1,28562996250,-,-
15/10/2020,33.25,33,33.5,32.75,33,-0.25,-0.751879699,33.09722714,33,33.25,61294.1,2028.66475,-,-,61297.321,2028.771834,904.7878725,712.015407,192.7724655,19.56,-0.36,1.09,30.21,6.059999943,6.61,942578.8763,0.209999993,-,-,1,28562996250,-,-
14/10/2020,34.25,33.75,34,33,33.25,-1,-2.919708029,33.362462,33,33.25,60663.6,2023.88705,1108,36.841,61774.695,2060.831685,742.0817,758.352025,-16.270325,19.7,-0.36,1.1,30.21,6.019999981,6.56,949719.6253,0.219999999,-,-,1,28562996250,-,-
12/10/2020,33.25,33.25,34.5,33,34.25,1,3.007518797,33.90517264,34,34.25,78586.5,2664.48885,-,-,78590.675,2664.629959,1298.845686,813.103775,485.741911,20.3,-0.37,1.13,30.21,5.840000153,6.36,978282.6216,0.280000001,-,-,1,28562996250,-,-
9/10/2020,33,33.25,33.5,32.75,33.25,0.25,0.757575758,33.18727255,33,33.25,38909.6,1291.3035,134.2,4.46215,39046.716,1295.862556,327.33715,436.8713825,-109.5342325,19.7,-0.36,1.1,30.21,6.019999981,6.56,949719.6253,0.140000001,-,-,1,28562996250,-,-
8/10/2020,33,33,33.75,32.75,33,0,0,33.25426687,33,33.25,55614.5,1849.419425,-,-,55617.828,1849.530309,531.9036745,556.95614,-25.0524655,19.56,-0.36,1.09,30.21,6.059999943,6.61,942578.8763,0.189999998,-,-,1,28562996250,-,-
7/10/2020,33,32.75,33,32.25,33,0,0,32.68739316,32.75,33,43231.7,1413.131575,1284.6,42.3918,44521.843,1455.704571,286.0108888,511.0849388,-225.07405,19.56,-0.36,1.09,30.21,6.059999943,6.61,942578.8763,0.159999996,-,-,1,28562996250,-,-
6/10/2020,32.25,32.75,33.25,32.5,33,0.75,2.325581395,32.96338929,33,33.25,67785.5,2234.439825,195.2,6.7056,67983.95,2241.252798,506.23535,843.558625,-337.323275,19.56,-0.36,1.09,30.21,6.059999943,6.61,942578.8763,0.239999995,-,-,1,28562996250,-,-
5/10/2020,32.25,32.5,32.75,32,32.25,0,0,32.28608639,32.25,32.5,33832.7,1092.325475,50,1.6125,33886.435,1094.059141,316.1457645,288.461015,27.6847495,19.11,-0.35,1.07,30.21,6.199999809,6.76,921156.6291,0.119999997,-,-,1,28562996250,-,-
2/10/2020,33,32.75,33,31.75,32.25,-0.75,-2.272727273,32.39828575,32.25,32.5,46626.7,1510.62515,140.4,4.5279,46774.923,1515.407132,504.3312388,497.672725,6.65851375,19.11,-0.35,1.07,30.21,6.199999809,6.76,921156.6291,0.159999996,-,-,1,28562996250,-,-
1/10/2020,32,32.5,33.25,32,33,1,3.125,32.70556039,33,33.25,35311.4,1154.879125,-,-,35314.762,1154.989353,260.4569075,351.75315,-91.2962425,19.56,-0.36,1.09,30.21,6.059999943,6.61,942578.8763,0.119999997,-,-,1,28562996250,XD,XD
30/9/2020,33.25,33,33.25,32,32,-1.25,-3.759398496,32.32212548,32,32.25,55633.6,1798.1962,3502.1,110.8672,59147.113,1909.433608,553.43445,586.155875,-32.721425,18.96,-0.35,1.06,30.21,6.25,6.81,914015.88,0.209999993,-,-,1,28562996250,XD,XD
29/9/2020,33.5,33.5,33.5,33,33.25,-0.25,-0.746268657,33.21863317,33,33.25,34346,1140.927175,3590.7,117.590775,37941.021,1258.661777,299.953128,364.528299,-64.575171,19.7,-0.36,1.1,30.21,6.019999981,6.02,949719.6253,0.129999995,-,-,1,28562996250,-,-
28/9/2020,32.5,32.75,33.5,32.5,33.5,1,3.076923077,33.26064562,33.25,33.5,43085.8,1433.061525,-,-,43091.074,1433.236698,273.089275,409.03165,-135.942375,19.85,-0.37,1.11,30.21,5.96999979,5.97,956860.3744,0.150000006,-,-,1,28562996250,-,-
25/9/2020,32.5,32.5,33,32.25,32.5,0,0,32.55490591,32.5,32.75,43553.6,1417.88335,-,-,43560.067,1418.095208,510.7776773,517.4430525,-6.66537525,19.26,-0.36,1.08,30.21,6.150000095,6.15,928297.3781,0.150000006,-,-,1,28562996250,-,-
24/9/2020,33.5,33,33.5,32.5,32.5,-1,-2.985074627,32.8060326,32.5,32.75,65105.4,2135.849875,-,-,65118.674,2136.287289,717.156733,492.10765,225.049083,19.26,-0.36,1.08,30.21,6.150000095,6.15,928297.3781,0.230000004,-,-,1,28562996250,-,-
23/9/2020,34.25,34.5,34.5,33.5,33.5,-0.75,-2.189781022,33.76024651,33.25,33.5,53308.4,1799.704725,222.2,7.9282,53540.757,1807.977458,545.1458563,333.073394,212.0724623,19.85,-0.37,1.11,30.21,5.96999979,5.97,956860.3744,0.189999998,-,-,1,28562996250,-,-
22/9/2020,35,34.5,34.75,34,34.25,-0.75,-2.142857143,34.2807479,34,34.25,53563,1836.1797,-,-,53572.118,1836.493133,442.0711375,524.211268,-82.1401305,20.3,-0.37,1.13,30.21,5.840000153,5.84,978282.6216,0.189999998,-,-,1,28562996250,-,-
21/9/2020,35.25,35.25,35.5,34.75,35,-0.25,-0.709219858,35.03465137,34.75,35,30099.1,1054.511475,2505.3,89.315186,32609.729,1144.013754,219.067311,410.502755,-191.435444,20.74,-0.38,1.16,30.21,5.710000038,5.71,999704.8688,0.109999999,-,-,1,28562996250,-,-
18/9/2020,35.75,35.75,35.75,35,35.25,-0.5,-1.398601399,35.29241073,35,35.25,56531.1,1995.1188,-,-,56536.071,1995.294841,1162.535746,674.5120623,488.0236833,20.89,-0.39,1.17,30.21,5.670000076,5.67,1006845.618,0.200000003,-,-,1,28562996250,-,-
17/9/2020,35.25,35.25,35.75,35,35.75,0.5,1.418439716,35.48750406,35.5,35.75,32618.6,1157.5527,-,-,32622.201,1157.680666,405.6008165,341.14845,64.4523665,21.19,-0.39,1.18,30.21,5.590000153,5.59,1021127.116,0.109999999,-,-,1,28562996250,-,-
16/9/2020,35.25,35.25,35.5,35,35.25,0,0,35.2627029,35.25,35.5,37845.7,1334.541675,1640,59.7224,39488.746,1394.371407,277.66015,465.4487618,-187.7886118,20.89,-0.39,1.17,30.21,5.670000076,5.67,1006845.618,0.140000001,-,-,1,28562996250,-,-
15/9/2020,35,35,35.5,34.5,35.25,0.25,0.714285714,34.96794829,35.25,35.5,45036.6,1574.8375,550,19.855,45590.968,1594.845159,456.778848,595.928198,-139.14935,20.89,-0.39,1.17,30.21,5.670000076,5.67,1006845.618,0.159999996,-,-,1,28562996250,-,-
14/9/2020,35,35.25,35.5,35,35,0,0,35.22588966,35,35.25,30045.2,1058.3689,-,-,30048.525,1058.486369,311.832525,324.5613225,-12.7287975,20.74,-0.38,1.16,30.21,5.710000038,5.71,999704.8688,0.109999999,-,-,1,28562996250,-,-
11/9/2020,35.25,35,35.5,35,35,-0.25,-0.709219858,35.16608534,35,35.25,22348.3,785.902225,-,-,22351.751,786.0240755,238.966075,314.767958,-75.801883,20.74,-0.38,1.16,30.21,5.710000038,5.71,999704.8688,0.079999998,-,-,1,28562996250,-,-
10/9/2020,35.25,35.25,35.75,35,35.25,0,0,35.28139754,35,35.25,33592.6,1185.193875,-,-,33598.578,1185.404919,377.5721525,341.1731813,36.39897125,20.89,-0.39,1.17,30.21,5.670000076,5.67,1006845.618,0.119999997,-,-,1,28562996250,-,-
9/9/2020,35,34.25,35.5,33.75,35.25,0.25,0.714285714,34.62670953,35,35.25,52814.1,1828.7785,540,19.494,53361.078,1848.513739,672.9024325,511.5397913,161.3626413,20.89,-0.39,1.17,30.21,5.670000076,5.67,1006845.618,0.189999998,-,-,1,28562996250,-,-
8/9/2020,36,35.5,35.75,35,35,-1,-2.777777778,35.28329597,35,35.25,38232.1,1348.9545,793.7,27.7795,39033.641,1377.012467,369.4276383,219.4190643,150.008574,20.74,-0.38,1.16,30.21,5.710000038,5.71,999704.8688,0.140000001,-,-,1,28562996250,-,-
3/9/2020,36.5,36.25,36.5,36,36,-0.5,-1.369863014,36.19218815,36,36.25,33798,1223.223575,844.4,30.994468,34648.863,1254.452641,316.8807405,506.3697198,-189.4889793,21.33,-0.39,1.19,30.21,5.559999943,5.56,1028267.865,0.119999997,-,-,1,28562996250,-,-
2/9/2020,36.25,36.25,36.5,36,36.5,0.25,0.689655172,36.27631823,36.25,36.5,31752.7,1151.87105,1838.8,67.461548,33594.544,1219.443296,360.7147815,432.6398653,-71.92508375,21.63,-0.4,1.21,30.21,5.480000019,5.48,1042549.363,0.119999997,-,-,1,28562996250,-,-
1/9/2020,36,36.25,36.5,36,36.25,0.25,0.694444444,36.25268134,36,36.25,32744.8,1187.0868,400,12.8,33151.425,1200.127546,344.0477765,365.4661275,-21.418351,21.48,-0.4,1.2,30.21,5.519999981,5.52,1035408.614,0.119999997,-,-,1,28562996250,-,-
31/8/2020,36.75,36.75,37.25,36,36,-0.75,-2.040816327,36.43783421,36,36.25,58945.2,2147.835425,-,-,58954.734,2148.185329,586.2359575,761.8563363,-175.6203788,21.33,-0.39,1.19,30.21,5.559999943,5.56,1028267.865,0.209999993,-,-,1,28562996250,-,-
28/8/2020,37.25,37.5,37.75,36.5,36.75,-0.5,-1.342281879,37.01235545,36.5,36.75,60845.6,2252.038975,-,-,60852.57,2252.297325,632.6557695,615.374629,17.2811405,21.78,-0.4,1.22,30.21,5.440000057,5.44,1049690.112,0.209999993,-,-,1,28562996250,-,-
27/8/2020,37,37.25,38,37,37.25,0.25,0.675675676,37.45396298,37,37.25,66120.7,2476.48225,866.4,32.2734,66989.991,2508.863891,758.3626575,569.5885125,188.774145,22.07,-0.41,1.23,30.21,5.369999886,5.37,1063971.61,0.230000004,-,-,1,28562996250,-,-
26/8/2020,37.25,37.25,37.5,36.75,37,-0.25,-0.67114094,37.18791001,37,37.25,32468.6,1207.439375,-,-,32471.604,1207.551219,239.0702258,372.095379,-133.0251533,21.93,-0.41,1.22,30.21,5.409999847,5.41,1056830.861,0.109999999,-,-,1,28562996250,-,-
25/8/2020,36.75,37,37.75,37,37.25,0.5,1.360544218,37.38597764,37.25,37.5,40673.6,1520.6223,-,-,40677.973,1520.785844,579.04335,479.6825063,99.36084375,22.07,-0.41,1.23,30.21,5.369999886,5.37,1063971.61,0.140000001,-,-,1,28562996250,-,-
24/8/2020,36.5,36.5,37.25,36.25,36.75,0.25,0.684931507,36.75532167,36.75,37,40119,1474.58675,-,-,40122.689,1474.722612,251.0790705,494.5314005,-243.45233,21.78,-0.4,1.22,30.21,5.440000057,5.44,1049690.112,0.140000001,-,-,1,28562996250,-,-
21/8/2020,36.25,36.75,37,36.25,36.5,0.25,0.689655172,36.54501358,36.25,36.5,35237.7,1287.762225,200,7.25,35441.22,1295.14134,503.003626,478.572975,24.430651,21.63,-0.4,1.21,30.21,5.480000019,5.48,1042549.363,0.119999997,-,-,1,28562996250,-,-
20/8/2020,37.25,37,37.25,36.25,36.25,-1,-2.684563758,36.66507927,36.25,36.5,49667.2,1821.051825,1013.4,36.73575,50688.802,1858.089967,405.4723565,602.6243055,-197.151949,21.48,-0.4,1.2,30.21,5.519999981,5.52,1035408.614,0.180000007,-,-,1,28562996250,-,-
19/8/2020,38,38.25,38.25,37.25,37.25,-0.75,-1.973684211,37.53458167,37.25,37.5,55437.6,2080.827125,971,36.35335,56414.734,2117.411432,691.426625,974.2474468,-282.8208218,22.07,-0.41,1.23,30.21,5.369999886,5.37,1063971.61,0.200000003,-,-,1,28562996250,-,-
18/8/2020,38,38,38.25,37.75,38,0,0,37.98240528,38,38.25,31995.4,1215.26225,-,-,31997.628,1215.347044,324.9325,667.2579468,-342.3254468,22.52,-0.42,1.26,30.21,5.260000229,5.26,1085393.858,0.109999999,-,-,1,28562996250,-,-
17/8/2020,37.75,38,38.25,37.75,38,0.25,0.662251656,37.94885075,37.75,38,20152.3,764.756625,-,-,20155.617,764.8826255,140.7222855,172.048725,-31.3264395,22.52,-0.42,1.26,30.21,5.260000229,5.26,1085393.858,0.07,-,-,1,28562996250,-,-
14/8/2020,38.25,38.25,38.5,37.5,37.75,-0.5,-1.307189542,37.99255689,37.75,38,38129.2,1448.6258,1904,71.876,40037.299,1520.65764,564.511201,662.263244,-97.752043,22.37,-0.41,1.25,30.21,5.300000191,5.3,1078253.108,0.140000001,-,-,1,28562996250,-,-
13/8/2020,37.5,37.75,38.75,37.75,38.25,0.75,2,38.31534451,38.25,38.5,61045.3,2338.9717,231.8,8.86635,61280.46,2347.966942,623.2847675,446.381347,176.9034205,22.67,-0.42,1.27,30.21,5.230000019,5.23,1092534.607,0.219999999,-,-,1,28562996250,-,-
11/8/2020,37.75,38,38.5,37.5,37.5,-0.25,-0.662251656,37.86197485,37.5,37.75,61644.2,2333.97115,-,-,61648.357,2334.129164,475.2044443,871.497917,-396.2934728,22.22,-0.41,1.24,30.35,5.329999924,5.33,1071112.359,0.219999999,-,-,1,28562996250,-,-
10/8/2020,38.25,38.25,38.5,37.75,37.75,-0.5,-1.307189542,38.12062534,37.75,38,23190.4,884.03255,-,-,23193.469,884.149806,308.828268,235.30228,73.525988,17.37,-0.4,1.24,30.35,5.300000191,5.3,1078253.108,0.079999998,-,-,1,28562996250,-,-
7/8/2020,38.75,38.5,38.75,37.75,38.25,-0.5,-1.290322581,38.19115773,38,38.25,59234.2,2262.222675,-,-,59238.338,2262.381283,629.260791,773.821125,-144.560334,17.6,-0.41,1.26,30.35,5.230000019,5.23,1092534.607,0.209999993,-,-,1,28562996250,-,-
6/8/2020,39,38.75,39.5,38.5,38.75,-0.25,-0.641025641,39.0569861,38.75,39,34953.7,1365.186175,346.8,13.4385,35303.965,1378.760235,377.5410615,398.527739,-20.9866775,17.83,-0.41,1.28,30.35,5.159999847,5.16,1106816.105,0.119999997,-,-,1,28562996250,-,-
5/8/2020,38,38.25,39.25,38,39,1,2.631578947,38.72755866,39,39.25,61561.6,2384.130475,-,-,61565.042,2384.264083,764.8177265,524.6621578,240.1555688,17.94,-0.42,1.29,30.35,5.130000114,5.13,1113956.854,0.219999999,-,-,1,28562996250,-,-
4/8/2020,38.5,38.75,39,38,38,-0.5,-1.298701299,38.32559178,38,38.25,60854.5,2332.284725,169.4,6.47955,61030.101,2339.002276,500.6627825,854.075957,-353.4131745,17.48,-0.41,1.25,30.35,5.260000229,5.26,1085393.858,0.209999993,-,-,1,28562996250,-,-
3/8/2020,39,39,39,38.25,38.5,-0.5,-1.282051282,38.58627341,38.25,38.5,35058.6,1352.780725,-,-,35063.71,1352.978169,531.8496953,419.732401,112.1172943,17.71,-0.41,1.27,30.35,5.190000057,5.19,1099675.356,0.119999997,-,-,1,28562996250,-,-
31/7/2020,38,38.25,39.25,37.25,39,1,2.631578947,38.4516666,38.75,39,75399.2,2899.2249,-,-,75402.98,2899.370237,1272.471958,747.127103,525.3448545,17.94,-0.42,1.29,30.35,5.130000114,5.13,1113956.854,0.270000011,-,-,1,28562996250,-,-
30/7/2020,38.5,38.5,39,38,38,-0.5,-1.298701299,38.42163966,38,38.25,37445.6,1438.72135,575.2,21.8576,38024.562,1460.723981,329.7211683,432.1332385,-102.4120703,17.48,-0.41,1.25,30.35,5.260000229,5.26,1085393.858,0.129999995,-,-,1,28562996250,-,-
29/7/2020,38.5,38.5,38.75,38.25,38.5,0,0,38.48117837,38.25,38.5,29212.4,1124.127575,-,-,29216.569,1124.288579,391.2183008,438.0410183,-46.8227175,17.71,-0.41,1.27,30.35,5.190000057,5.19,1099675.356,0.100000001,-,-,1,28562996250,-,-
24/7/2020,39.75,39,39.25,38.5,38.5,-1.25,-3.144654088,38.78697398,38.5,38.75,42731.4,1657.4217,-,-,42736.263,1657.610726,374.647825,419.50285,-44.855025,17.71,-0.41,1.27,30.35,5.190000057,5.19,1099675.356,0.150000006,-,-,1,28562996250,-,-
23/7/2020,39.5,39.5,40,39,39.75,0.25,0.632911392,39.57230637,39.5,39.75,36524.1,1445.342875,218.5,8.685375,36745.893,1454.158685,538.0456513,478.1035955,59.94205575,18.29,-0.42,1.31,30.35,5.03000021,5.03,1135379.101,0.129999995,-,-,1,28562996250,-,-
22/7/2020,40.25,40.25,40.75,39,39.5,-0.75,-1.863354037,39.86462187,39.25,39.5,65462.2,2609.62585,-,-,65468.32,2609.870253,743.7606135,894.63978,-150.8791665,18.17,-0.42,1.3,30.35,5.059999943,5.06,1128238.352,0.230000004,-,-,1,28562996250,-,-
21/7/2020,38.5,39,40.5,39,40.25,1.75,4.545454545,39.71882934,40,40.25,65615.4,2606.166875,-,-,65622.901,2606.464153,985.43965,583.1764088,402.2632413,18.52,-0.43,1.33,30.35,4.96999979,4.97,1149660.599,0.230000004,-,-,1,28562996250,-,-
20/7/2020,38.75,38.5,39,38.25,38.5,-0.25,-0.64516129,38.6447793,38.5,38.75,25566.5,988.01175,-,-,25569.457,988.126303,437.240899,458.5137295,-21.2728305,17.71,-0.41,1.27,30.35,5.190000057,5.19,1099675.356,0.090000004,-,-,1,28562996250,-,-
17/7/2020,38.25,38.5,39,38,38.75,0.5,1.307189542,38.48443086,38.5,38.75,27833.9,1071.1718,100,3.825,27936.529,1075.098009,491.1229535,296.966375,194.1565785,17.83,-0.41,1.28,30.35,5.159999847,5.16,1106816.105,0.100000001,-,-,1,28562996250,-,-
16/7/2020,38.75,38.75,38.75,37.75,38.25,-0.5,-1.290322581,38.29852759,38,38.25,37275.7,1427.604425,418.4,15.9538,37698.224,1443.716528,487.7395898,658.933225,-171.1936353,17.6,-0.41,1.26,30.35,5.230000019,5.23,1092534.607,0.129999995,-,-,1,28562996250,-,-
15/7/2020,38,38.25,39,38,38.75,0.75,1.973684211,38.60271624,38.5,38.75,44600.3,1721.692725,-,-,44603.377,1721.811268,488.12567,750.756476,-262.630806,17.83,-0.41,1.28,30.35,5.159999847,5.16,1106816.105,0.159999996,-,-,1,28562996250,-,-
14/7/2020,37.5,37.25,38,37,38,0.5,1.333333333,37.58143169,37.75,38,33133.6,1245.208125,-,-,33136.691,1245.324113,454.1347745,319.6203,134.5144745,17.48,-0.41,1.25,30.35,5.260000229,5.26,1085393.858,0.119999997,-,-,1,28562996250,-,-
