Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
30/10/2020,66.5,66.75,66.75,63.75,65,-1.5,-2.255639098,64.71922255,64.75,65,17260.2,1117.066725,40,2.6,17302.647,1119.825624,289.2446828,394.63945,-105.3947673,5.83,-0.17,0.55,118.71,9.619999886,7.31,220713.3928,0.50999999,-,-,10,3395590658,-,-
29/10/2020,66,65.5,66.75,64.75,66.5,0.5,0.757575758,66.08892887,66.5,66.75,17149.1,1133.36565,-,-,17150.159,1133.435687,177.7199,257.532075,-79.812175,5.96,-0.18,0.56,118.71,9.399999619,7.14,225806.7788,0.50999999,-,-,10,3395590658,-,-
28/10/2020,65.25,65.5,66.75,65,66,0.75,1.149425287,65.88252999,65.75,66,13638.8,898.55865,250,16.46875,13890.896,915.1653688,163.7259353,252.9236868,-89.1977515,5.92,-0.17,0.56,118.71,9.470000267,7.2,224108.9834,0.409999996,-,-,10,3395590658,-,-
27/10/2020,64.75,64.25,65.5,63,65.25,0.5,0.772200772,64.1821252,65,65.25,18062.3,1159.2768,-,-,18063.567,1159.358039,490.921595,315.971,174.950595,5.85,-0.17,0.55,118.71,9.579999924,7.28,221562.2904,0.529999971,-,-,10,3395590658,-,-
26/10/2020,65,65,65,64,64.75,-0.25,-0.384615385,64.51968309,64.5,64.75,6658,429.57205,529.2,34.0735,7188.001,463.697184,193.7655475,108.0362858,85.72926175,5.81,-0.17,0.55,118.71,9.649999619,7.34,219864.4951,0.209999993,-,-,10,3395590658,-,-
22/10/2020,65,64.5,65,63,65,0,0,64.32062104,65,65.25,15519.1,998.19815,-,-,15520.444,998.2840725,328.855225,484.1165103,-155.2612853,5.83,-0.17,0.55,118.71,9.619999886,7.31,220713.3928,0.460000008,-,-,10,3395590658,-,-
21/10/2020,61.25,62.25,65.25,61.75,65,3.75,6.12244898,63.99624638,65,65.25,19261.4,1232.6573,-,-,19264.337,1232.845108,567.097367,271.569848,295.527519,5.83,-0.17,0.55,118.71,9.619999886,7.31,220713.3928,0.569999993,-,-,10,3395590658,-,-
20/10/2020,60.75,60.75,62.5,60.75,61.25,0.5,0.823045267,61.63229223,61.25,61.5,16932.4,1043.582625,451,29.90421,17385.239,1073.600254,617.0402863,518.723442,98.31684425,5.49,10.84,0.52,118.71,10.19999981,7.76,207979.9278,0.50999999,-,-,10,3395590658,-,-
19/10/2020,63.5,62.75,62.75,60,60.75,-2.75,-4.330708661,61.08422841,60.5,60.75,20305.5,1240.3458,-,-,20312.056,1240.745972,387.7882248,624.33704,-236.5488153,5.45,10.76,0.51,118.71,10.28999996,7.82,206282.1325,0.600000024,-,-,10,3395590658,-,-
16/10/2020,64.5,64.25,64.5,63,63.5,-1,-1.550387597,63.40329002,63.25,63.5,12106.3,767.57925,-,-,12107.806,767.6755885,274.475605,408.7365575,-134.2609525,5.69,11.24,0.53,118.71,9.840000153,7.48,215620.0068,0.360000014,-,-,10,3395590658,-,-
15/10/2020,64.25,63,64.5,62.5,64.5,0.25,0.389105058,63.68459715,64,64.5,12337,785.676875,68.5,4.41825,12406.965,790.188379,237.7803313,189.8120108,47.9683205,5.78,11.42,0.54,118.71,9.68999958,7.36,219015.5781,0.370000005,-,-,10,3395590358,-,-
14/10/2020,66.75,65.5,65.75,64,64.25,-2.5,-3.745318352,64.59919625,64.25,64.5,13710.7,885.7002,8.5,0.546125,13721.551,886.3984225,163.3532788,372.847625,-209.4943463,5.76,11.38,0.54,118.71,9.729999542,7.39,218166.6805,0.400000006,-,-,10,3395590358,-,-
12/10/2020,66,66.25,67.5,65.5,66.75,0.75,1.136363636,66.82427755,66.75,67,10429.8,696.96385,-,-,10431.305,697.064403,155.7077538,249.9204545,-94.21270075,5.98,11.81,0.56,118.71,9.359999657,7.12,226655.6564,0.310000002,-,-,10,3395590358,-,-
9/10/2020,66.5,66.5,66.5,65,66,-0.5,-0.751879699,65.89744818,65.75,66,7565.2,498.527375,-,-,7566.331,498.601961,70.16428125,131.9733385,-61.80905725,5.92,11.69,0.56,118.71,9.470000267,7.2,224108.9636,0.219999999,-,-,10,3395590358,-,-
8/10/2020,65.5,65.75,66.75,65.5,66.5,1,1.526717557,66.09255534,66.25,66.5,9048.1,598.01205,170.1,11.48658,9219.417,609.5791145,165.170775,138.77255,26.398225,5.96,11.77,0.56,118.71,9.399999619,7.14,225806.7588,0.270000011,-,-,10,3395590358,-,-
7/10/2020,65.25,64.75,65.75,64.75,65.5,0.25,0.383141762,65.3588141,65.25,65.5,5148,336.467175,-,-,5148.707,336.5133898,121.51065,109.675179,11.835471,5.87,11.59,0.55,118.71,9.539999962,7.25,222411.1684,0.150000006,-,-,10,3395590358,-,-
6/10/2020,64.25,64.75,66,63.75,65.25,1,1.556420233,65.03335683,65.25,65.5,11987.8,779.606875,-,-,11988.952,779.6817713,230.060545,225.59705,4.463495,5.85,11.55,0.55,118.71,9.579999924,7.28,221562.2709,0.349999994,-,-,10,3395590358,-,-
5/10/2020,63.75,64.25,65.25,64,64.25,0.5,0.784313725,64.52211712,64.25,64.5,6496.1,419.142125,-,-,6497.478,419.2311628,126.3918895,102.091275,24.3006145,5.76,11.38,0.54,118.71,9.729999542,7.39,218166.6805,0.189999998,-,-,10,3395590358,-,-
2/10/2020,64.75,64.5,64.75,63.5,63.75,-1,-1.544401544,64.02519879,63.75,64,6904.1,442.036375,26.3,1.676625,6932.321,443.8361693,82.511625,137.933575,-55.42195,5.72,11.3,0.54,118.71,9.800000191,7.45,216468.8853,0.200000003,-,-,10,3395590358,-,-
1/10/2020,65,65,65.25,64.5,64.75,-0.25,-0.384615385,64.82113489,64.5,64.75,5326.5,345.269775,-,-,5328.163,345.3776228,72.555365,85.209725,-12.65436,5.81,11.48,0.55,118.71,9.649999619,7.34,219864.4757,0.159999996,-,-,10,3395590358,-,-
30/9/2020,66.5,66.25,66.75,64.25,65,-1.5,-2.255639098,65.23817293,64.75,65,10036.3,654.749875,49.4,3.211,10088.189,658.1235525,114.8546008,229.38724,-114.5326393,5.83,11.51,0.55,118.71,9.619999886,7.31,220713.3733,0.300000012,-,-,10,3395590358,-,-
29/9/2020,67.25,67.75,67.75,65.75,66.5,-0.75,-1.115241636,66.47681472,66.25,66.5,8242.3,547.92185,-,-,8244.54,548.070665,176.716068,266.9505513,-90.23448325,5.96,11.77,0.56,118.71,9.399999619,7.14,225806.7588,0.239999995,-,-,10,3395590358,-,-
28/9/2020,64,64.5,67.5,64.25,67.25,3.25,5.078125,66.19037469,67,67.25,13558,897.4091,-,-,13560.264,897.5582508,259.3243,289.226525,-29.902225,6.03,11.91,0.57,118.71,9.289999962,7.06,228353.4516,0.400000006,-,-,10,3395590358,-,-
25/9/2020,64.5,65,65,63.75,64,-0.5,-0.775193798,64.2311081,63.75,64,6355.9,408.2465,-,-,6358.218,408.3955595,144.0027675,210.262205,-66.2594375,5.74,11.34,0.54,118.71,9.770000458,7.42,217317.7829,0.189999998,-,-,10,3395590358,-,-
24/9/2020,64.25,63.5,65,63,64.5,0.25,0.389105058,63.83437413,64.5,64.75,13307.1,849.4504,-,-,13310.315,849.6554668,256.1052625,240.2772295,15.828033,5.78,11.42,0.54,118.71,9.68999958,7.36,219015.5781,0.389999986,-,-,10,3395590358,-,-
23/9/2020,64.5,65,65.25,64,64.25,-0.25,-0.387596899,64.54976796,64.25,64.5,9459.4,610.602075,-,-,9462.324,610.791148,156.3754385,111.845825,44.5296135,5.76,11.38,0.54,118.71,9.729999542,7.39,218166.6805,0.280000001,-,-,10,3395590358,-,-
22/9/2020,66.75,66.25,66.75,64.25,64.5,-2.25,-3.370786517,65.04690822,64.25,64.5,15143.4,985.03135,40,2.58,15190.553,988.0778708,188.688986,229.5442398,-40.85525375,5.78,11.42,0.54,118.71,9.68999958,7.36,219015.5781,0.449999988,-,-,10,3395590358,-,-
21/9/2020,67.25,67.25,68,66.25,66.75,-0.5,-0.743494424,66.9896976,66.5,66.75,10747.5,719.971775,4933.8,313.44255,15685.375,1033.687816,270.033561,228.6535105,41.3800505,5.98,11.81,0.56,118.71,9.359999657,7.12,226655.6564,0.460000008,-,-,10,3395590358,-,-
18/9/2020,67.75,68.75,69.25,67.25,67.25,-0.5,-0.73800738,67.94582245,67.25,67.75,16539.6,1123.796725,513.6,34.91442528,17054.92,1158.828704,530.3123403,167.449383,362.8629573,6.03,11.91,0.57,118.71,9.289999962,7.06,228353.4516,0.5,-,-,10,3395590358,-,-
17/9/2020,68.5,68,68.25,66.75,67.75,-0.75,-1.094890511,67.34736037,67.5,67.75,12787.8,861.224575,2394.7,161.2841625,15187.889,1022.8721,269.048375,187.017093,82.031282,6.07,11.99,0.57,118.71,9.229999542,7.01,230051.2468,0.449999988,-,-,10,3395590358,-,-
16/9/2020,69.75,69.25,69.5,68.5,68.5,-1.25,-1.792114695,68.78042519,68.5,68.75,6592.4,453.428075,88.1,6.03485,6682.667,459.6121008,76.512,91.744,-15.232,6.14,12.13,0.58,118.71,9.119999886,6.93,232597.9395,0.200000003,-,-,10,3395590358,-,-
15/9/2020,69.5,69.75,70,69,69.75,0.25,0.35971223,69.5137923,69.5,69.75,5349,371.829275,4888.8,339.7716,10239.166,711.6958845,85.75995,105.705614,-19.945664,6.25,12.34,0.59,118.71,8.960000038,6.81,236842.4275,0.300000012,-,-,10,3395590358,-,-
14/9/2020,70.5,70.25,70.5,69,69.5,-1,-1.418439716,69.73098748,69.5,69.75,9463.5,659.8992,-,-,9466.093,660.080162,261.2922,254.694593,6.597607,6.23,12.3,0.59,118.71,8.989999771,6.83,235993.5299,0.280000001,-,-,10,3395590358,-,-
11/9/2020,70.5,70.5,71,70.25,70.5,0,0,70.64885794,70.25,70.5,4548.8,321.367525,-,-,4549.935,321.4476555,109.505125,90.55368175,18.95144325,6.32,12.48,0.59,118.71,8.869999886,6.74,239389.1202,0.129999995,-,-,10,3395590358,-,-
10/9/2020,71.5,71.25,71.5,70.5,70.5,-1,-1.398601399,70.96559897,70.5,70.75,8079.7,573.38075,-,-,8081.087,573.4792498,211.871594,109.3596993,102.5118948,6.32,12.48,0.59,118.71,8.869999886,6.74,239389.1202,0.239999995,-,-,10,3395590358,-,-
9/9/2020,72.25,71.5,71.75,70.5,71.5,-0.75,-1.038062284,71.24831624,71.25,71.5,8893.8,633.668275,258.2,18.28005,9153.663,652.0666718,147.170055,131.888135,15.28192,6.41,12.66,0.6,118.71,8.739999771,6.64,242784.7106,0.270000011,-,-,10,3395590358,-,-
8/9/2020,71,71,72.25,70.25,72.25,1.25,1.76056338,71.17250926,71.75,72.25,6158.8,438.33725,941.3,67.07976777,7101.359,505.506504,207.428776,88.7403225,118.6884535,6.48,12.8,0.61,118.71,8.649999619,6.57,245331.4034,0.209999993,-,-,10,3395590358,-,-
3/9/2020,73,73.25,73.25,71,71,-2,-2.739726027,71.75150898,71,71.25,8466,607.448275,-,-,8468.879,607.655257,153.1361473,160.66463,-7.52848275,6.37,12.58,0.6,118.71,8.800000191,6.69,241086.9154,0.25,-,-,10,3395590358,-,-
2/9/2020,71.75,71.5,73,70.5,73,1.25,1.742160279,71.91800813,72.75,73,6615.9,475.80235,-,-,6617.636,475.9266543,172.8125925,169.882028,2.9305645,6.54,12.92,0.61,118.71,8.56000042,6.51,247878.0961,0.189999998,-,-,10,3395590358,-,-
1/9/2020,72.5,72.75,73.5,71.25,71.75,-0.75,-1.034482759,72.33987862,71.75,72,8749.3,632.9233,-,-,8752.14,633.1288518,138.4565038,149.838968,-11.38246425,6.43,12.7,0.6,118.71,8.710000038,6.62,243633.6082,0.25999999,-,-,10,3395590358,-,-
31/8/2020,73.75,74,74.75,72.25,72.5,-1.25,-1.694915254,73.44679272,72.25,72.5,13980.7,1026.837575,45,3.2625,14028.208,1030.2847,228.272125,333.800185,-105.52806,6.5,12.84,0.61,118.71,8.619999886,8.62,246180.301,0.409999996,-,-,10,3395590358,-,-
28/8/2020,72.75,73.5,75,73,73.75,1,1.374570447,73.96529589,73.5,73.75,16181.8,1196.891625,-,-,16184.496,1197.090852,376.111644,303.899129,72.212515,6.61,13.06,0.63,116.27,8.470000267,8.47,250424.7889,0.479999989,-,-,10,3395590358,-,-
