Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
30/10/2020,346,347,347,336,338,-8,-2.312138728,340.3472063,337,338,3830,1303.5298,-,-,3831.528,1304.049001,408.98163,398.53683,10.4448,13.67,-2.22,1.37,247.07,4.139999866,3.7,405600,0.319999993,-,-,1,1200000000,-,-
29/10/2020,345,345,347,342,346,1,0.289855072,345.0321465,346,347,2746.8,947.7343,100,34.5,2847.473,982.466587,302.8978,150.0332,152.8646,14,-0.6,1.4,247.07,4.050000191,3.61,415200,0.239999995,-,-,1,1200000000,-,-
28/10/2020,346,346,348,344,345,-1,-0.289017341,345.8257884,345,346,1966,679.8935,20.1,7.2158,1986.839,687.36478,261.50301,190.3418,71.16121,13.96,-0.6,1.4,247.07,4.059999943,3.62,414000,0.170000002,-,-,1,1200000000,-,-
27/10/2020,340,337,348,336,346,6,1.764705882,342.1577215,346,347,3098.5,1060.1757,-,-,3099.941,1060.669951,263.214578,294.9464,-31.731822,14,-0.6,1.4,247.07,4.050000191,3.61,415200,0.25999999,-,-,1,1200000000,-,-
26/10/2020,335,334,340,334,340,5,1.492537313,337.7111987,339,340,1471.6,496.9758,-,-,1472.099,497.143967,173.4607,149.512333,23.948367,13.75,-0.59,1.38,247.07,4.119999886,3.68,408000,0.119999997,-,-,1,1200000000,-,-
22/10/2020,341,340,342,335,335,-6,-1.759530792,337.4170969,335,336,3913,1320.3131,40,13.6,3954.216,1334.323848,766.902754,180.945298,585.957456,13.55,-0.58,1.36,247.07,4.179999828,3.73,402000,0.330000013,-,-,1,1200000000,-,-
21/10/2020,339,340,344,336,341,2,0.589970501,340.3054125,341,342,3144.6,1070.1244,-,-,3145.161,1070.315657,244.3699,262.455,-18.0851,13.79,-0.59,1.38,247.07,4.110000134,3.67,409200,0.25999999,-,-,1,1200000000,-,-
20/10/2020,334,337,349,336,339,5,1.497005988,342.0407739,338,339,4475.9,1530.9403,-,-,4477.999,1531.65955,475.0646,361.689652,113.374948,13.71,-0.59,1.37,247.07,4.130000114,3.69,406800,0.370000005,-,-,1,1200000000,-,-
19/10/2020,334,332,338,331,334,0,0,334.1443945,333,334,2601.9,869.4103,-,-,2602.9,869.743695,283.0837,198.519045,84.564655,13.51,-0.58,1.35,247.07,4.190000057,3.74,400800,0.219999999,-,-,1,1200000000,-,-
16/10/2020,341,340,341,333,334,-7,-2.052785924,335.0900627,334,335,2760.3,924.9491,20,6.66,2781.52,932.018867,295.3375,253.3941,41.9434,13.51,-0.58,1.35,247.07,4.190000057,3.74,400800,0.230000004,-,-,1,1200000000,-,-
